,Gender,IsLocal,IsPartnerEmployee,IsFriendPromo,HasPhone,ContractType,IsVisitingGroup,MemberAge,AvgOverdueCosts,NumMonthsContractEnd,Tenure,OvrClassFreq,AvgClassFreqCurrentMonth,IsChurned,AgeGroup,TenureGroup
0,Male,Yes,Yes,Yes,No,Semi-Annually,Yes,29.0,14.227470422861144,5,3,0.0203979476208577,0.0,No,29-32,0-7
1,Female,Yes,No,No,Yes,Annually,Yes,31.0,113.2029376510582,12,7,1.9229360550418195,1.9102435215196407,No,29-32,0-7
2,Female,Yes,Yes,No,Yes,Monthly,No,28.0,129.44847933200614,1,2,1.8590983473832376,1.7365018916344137,No,25-28,0-7
3,Female,Yes,Yes,Yes,Yes,Annually,Yes,33.0,62.66986319123829,12,2,3.2056327682385,3.3572145130526616,No,33-37,0-7
4,Male,Yes,Yes,Yes,Yes,Monthly,No,26.0,198.36226543903683,1,3,1.1138844004257795,1.120078107422207,No,25-28,0-7
5,Male,Yes,No,No,Yes,Monthly,Yes,34.0,450.7439599104914,1,3,2.6234768072839807,2.6370069647681804,No,33-37,0-7
6,Male,Yes,Yes,Yes,No,Semi-Annually,Yes,32.0,94.2663885148517,6,2,1.138941228411322,1.2772416305372298,No,29-32,0-7
7,Female,Yes,No,No,Yes,Monthly,No,30.0,217.78664105008903,1,0,1.2135019626583017,1.0493871451868677,Yes,29-32,0-7
8,Male,Yes,Yes,Yes,Yes,Monthly,Yes,23.0,45.40990920299768,1,1,1.106238932529013,1.059332976736446,No,21-24,0-7
9,Female,Yes,No,No,Yes,Monthly,No,31.0,65.31083634086433,1,11,1.81085190458252,1.9513676552017305,No,29-32,8-15
10,Female,Yes,No,No,No,Semi-Annually,Yes,32.0,229.70894524511127,6,3,1.6411796616862384,1.36771396663351,No,29-32,0-7
11,Male,Yes,Yes,No,Yes,Monthly,No,27.0,266.7838237446521,1,2,2.3485353357599856,1.5843158272716689,Yes,25-28,0-7
12,Female,Yes,Yes,Yes,Yes,Monthly,Yes,33.0,148.41805281528684,1,4,3.3686057499800075,3.3918531715752978,No,33-37,0-7
13,Male,Yes,No,No,Yes,Monthly,Yes,27.0,152.74866849929762,1,1,0.0,0.0,Yes,25-28,0-7
14,Female,Yes,No,No,Yes,Semi-Annually,No,35.0,209.8881331905138,3,8,1.978083818026388,2.117349155762039,No,33-37,8-15
15,Female,Yes,Yes,Yes,Yes,Annually,No,29.0,101.37260415417305,10,4,2.850402196472184,2.836455259119332,No,29-32,0-7
16,Female,Yes,Yes,Yes,Yes,Monthly,Yes,31.0,11.975295259522357,1,0,3.3422611433294565,3.2062232230844008,No,29-32,0-7
17,Female,Yes,No,Yes,Yes,Semi-Annually,Yes,29.0,92.78741424476028,5,1,0.6644824749922384,0.6099452944797018,No,29-32,0-7
18,Female,Yes,No,No,Yes,Monthly,Yes,30.0,97.80431525583174,1,8,1.50707557553785,1.5787380483152962,No,29-32,8-15
19,Male,Yes,Yes,Yes,Yes,Annually,Yes,29.0,73.91754594762952,11,14,1.1413270096198054,1.1584545301683429,No,29-32,8-15
20,Male,Yes,No,No,Yes,Semi-Annually,Yes,29.0,338.5968593027536,6,1,3.5635989884526174,3.479553072853101,No,29-32,0-7
21,Female,No,No,No,Yes,Monthly,No,30.0,153.19859377822274,1,3,0.6363818009615023,0.0,Yes,29-32,0-7
22,Male,Yes,No,No,Yes,Annually,Yes,29.0,100.15813043665086,12,1,3.899715123776592,3.709854878880804,No,29-32,0-7
23,Male,Yes,No,No,Yes,Monthly,Yes,32.0,276.0798821905471,1,1,1.4206371562255409,1.0431012098788572,Yes,29-32,0-7
24,Female,Yes,No,Yes,No,Semi-Annually,No,27.0,179.55545728024344,6,6,3.393160619358797,3.2825153464860963,No,25-28,0-7
25,Female,No,No,No,Yes,Monthly,No,29.0,57.73000650327499,1,0,1.491187497274369,1.2468065037921203,Yes,29-32,0-7
26,Female,Yes,Yes,No,Yes,Semi-Annually,No,29.0,167.87521108842424,6,5,3.311349561669348,3.2434118858397034,No,29-32,0-7
27,Male,Yes,No,Yes,Yes,Semi-Annually,No,27.0,31.805389694141468,6,3,0.8242833135958354,0.7957610492318434,No,25-28,0-7
28,Female,Yes,No,No,Yes,Monthly,No,28.0,242.36650054262452,1,15,1.4594094470402328,1.3203716289772194,No,25-28,8-15
29,Female,Yes,Yes,Yes,Yes,Semi-Annually,Yes,27.0,159.1489236862274,5,3,3.5115681790970164,3.528885687703054,No,25-28,0-7
30,Female,Yes,Yes,No,Yes,Monthly,Yes,32.0,44.67250817468889,1,1,1.7716919792557118,1.6878719123797667,No,29-32,0-7
31,Female,Yes,No,No,Yes,Annually,Yes,32.0,87.85613947441288,12,1,0.0,0.0,No,29-32,0-7
32,Female,Yes,No,No,Yes,Annually,No,32.0,131.114586424149,12,3,2.374935353569161,2.2650888942452982,No,29-32,0-7
33,Female,Yes,Yes,Yes,Yes,Annually,No,29.0,208.9807514639272,12,12,3.0835027485045474,3.137978891402041,No,29-32,8-15
34,Female,Yes,No,No,Yes,Semi-Annually,No,26.0,243.51068017558129,5,4,1.6950063019979729,1.6781187218678733,No,25-28,0-7
35,Female,Yes,No,No,Yes,Annually,Yes,33.0,188.59086256820493,12,11,0.5611384840428737,0.5659106205423078,No,33-37,8-15
36,Female,Yes,No,No,No,Monthly,No,34.0,65.74274262265584,1,1,1.0699892680002354,1.0519945422537709,No,33-37,0-7
37,Male,Yes,No,No,Yes,Monthly,Yes,32.0,14.25472125783996,1,21,3.3723138038385403,3.3157149345500736,No,29-32,16-23
38,Male,Yes,Yes,Yes,Yes,Annually,Yes,25.0,179.03883962297508,12,12,1.7949385766908976,1.716777789644885,No,25-28,8-15
39,Male,Yes,No,Yes,No,Semi-Annually,Yes,35.0,233.2395478031676,6,0,1.270751504397165,1.2065910354788194,No,33-37,0-7
40,Female,Yes,Yes,Yes,Yes,Annually,No,33.0,5.135184497156928,12,5,2.9452379650144063,3.008917866863644,No,33-37,0-7
41,Female,Yes,Yes,Yes,No,Monthly,No,25.0,161.60734904259368,1,1,0.8789498475034133,0.0092440811667241,Yes,25-28,0-7
42,Female,Yes,No,No,Yes,Annually,No,36.0,108.90944277802252,12,1,2.046309893657255,2.0797042598139592,No,33-37,0-7
43,Female,Yes,Yes,Yes,No,Monthly,Yes,30.0,261.7131880951677,1,4,3.863329318623784,3.8082617008204727,No,29-32,0-7
44,Male,Yes,Yes,No,Yes,Annually,No,29.0,332.4890410547644,9,4,3.0714307544217,3.112817956184608,No,29-32,0-7
45,Male,Yes,Yes,No,Yes,Semi-Annually,No,29.0,139.34952378010922,6,8,1.391037096478528,1.3544371854288566,No,29-32,8-15
46,Male,Yes,No,No,Yes,Monthly,No,26.0,54.18423621080765,1,0,0.8540792567085165,0.0,Yes,25-28,0-7
47,Male,Yes,Yes,Yes,Yes,Semi-Annually,No,33.0,115.0991177252774,6,3,3.373237583328313,3.3783911776787003,No,33-37,0-7
48,Male,Yes,No,Yes,Yes,Monthly,Yes,25.0,152.95423818790002,1,12,2.915044970361457,2.8685849547070923,No,25-28,8-15
